ID,Name,Url,Park,Start date,End date,Teams,City,State,Result
698,ETX Spring Finale,https://youth.2dsports.org/events/etx-spring-finale-gladewater-tx-05-27-2023,EAST TEXAS TOURNAMENTS,05/27,5/28/2023,0,Gladewater,TX,"7u AA - $150.00, 7u Open - $150.00, 8u AA - $150.00, 8u Open - $150.00, 9u AA - $150.00, 9u Open - $150.00, 10u AA - $150.00, 10u Open - $150.00, 11u AA - $150.00, 11u Open - $150.00, 12u AA - $150.00, 12u Open - $150.00, 13u AA - $150.00, 13u Open - $150.00, 14u AA - $150.00, 14u Open - $150.00"
651,South LA State Championship,https://youth.2dsports.org/events/south-la-state-tournament-oak-villa-watson-zachary-crowley-youngsville-broussard-la-05-27-2023,SWLA TOURNAMENTS,05/27,5/29/2023,28,"Oak Villa, Watson, Zachary, Crowley, Youngsville,Broussard",LA,"7u Open - $150.00, 8u AA - $150.00, 8u Open - $150.00, 9u Major - $250.00, 9u AAA - $250.00, 9u AA - $250.00, 10u Major - $250.00, 10u AAA - $250.00, 10u AA - $250.00, 11u Major - $250.00, 11u AAA - $250.00, 11u AA - $250.00, 12u Major - $250.00, 12u AAA - $250.00, 12u AA - $250.00, 13u Major - $250.00, 13u AAA - $250.00, 13u AA - $250.00, 14u Select Series - $0.00, 14u AA - $250.00, 14u Open - $250.00"
654,Select Series Championship,https://youth.2dsports.org/events/select-series-championship-broussard-youngsville-la-06-02-2023,SWLA TOURNAMENTS,06/02,06/04/2023,0,"Broussard, Youngsville",LA,"11u Select Series - $0.00, 12u Select Series - $0.00, 13u Select Series - $0.00"
692,AA World Series Warm up,https://youth.2dsports.org/events/aa-world-series-warm-up-ruston-natchitoches-la-06-03-2023,NORTH LA TOURNAMENTS,06/03,06/04/2023,2,"Ruston, Natchitoches",LA,"7u Open - $0.00, 8u Open - $0.00, 9u AA - $150.00, 10u AA - $150.00, 11u AA - $150.00, 12u AA - $150.00, 13u AA - $150.00, 14u Open - $150.00"
657,Agave Blue AA Summer Championship,https://youth.2dsports.org/events/agave-blue-aa-summer-championship-zachary-la-06-03-2023,DEEP SOUTH TOURNAMENTS,06/03,06/04/2023,18,Zachary,LA,"7u AA - $0.00, 8u AA - $0.00, 9u AA - $150.00, 10u AA - $150.00, 11u AA - $150.00, 12u AA - $150.00, 13u AA - $150.00, 14u AA - $150.00"
703,Arkansas State Warm-up,https://youth.2dsports.org/events/arkansas-state-warm-up-russellville-ar-06-03-2023,ARKANSAS TOURNAMENTS,06/03,06/04/2023,0,Russellville,AR,"7u AA - $100.00, 7u Open - $100.00, 8u AA - $100.00, 8u Open - $100.00, 9u AA - $100.00, 9u Open - $100.00, 10u AA - $100.00, 10u Open - $100.00, 11u AA - $100.00, 11u Open - $100.00, 12u AA - $100.00, 12u Open - $100.00, 13u AA - $100.00, 13u Open - $100.00, 14u AA - $100.00, 14u Open - $100.00"
660,Bull Shoals Turf Bash,https://youth.2dsports.org/events/bull-shoals-turf-bash-mountain-home-ar-06-03-2023,ARKANSAS TOURNAMENTS,06/03,06/04/2023,2,Mountain Home,AR,"7u AA - $100.00, 7u Open - $100.00, 8u AA - $100.00, 8u Open - $100.00, 9u AA - $100.00, 9u Open - $100.00, 10u AA - $100.00, 10u Open - $100.00, 11u AA - $100.00, 11u Open - $100.00, 12u AA - $100.00, 12u Open - $100.00, 13u AA - $100.00, 13u Open - $100.00, 14u AA - $100.00, 14u Open - $100.00"
708,ETX Spring Finale,https://youth.2dsports.org/events/etx-spring-finale-mt-pleasant-tx-06-03-2023,EAST TEXAS TOURNAMENTS,06/03,06/04/2023,0,Mt. Pleasant,TX,"7u AA - $0.00, 7u Open - $0.00, 8u AA - $0.00, 8u Open - $0.00, 9u AA - $0.00, 9u Open - $0.00, 10u AA - $0.00, 10u Open - $0.00, 11u AA - $0.00, 11u Open - $0.00, 12u AA - $0.00, 12u Open - $0.00, 13u AA - $0.00, 13u Open - $0.00, 14u AA - $0.00, 14u Open - $0.00"
658,Missouri State Championship,https://youth.2dsports.org/events/missouri-state-championship-poplar-bluff-mo-06-03-2023,,06/03,06/04/2023,1,Poplar Bluff,MO,"7u Open - $100.00, 7u A - $100.00, 8u Open - $100.00, 8u A - $100.00, 9u AA - $100.00, 9u Open - $100.00, 9u A - $100.00, 10u AA - $100.00, 10u Open - $100.00, 10u A - $100.00, 11u AA - $100.00, 11u Open - $100.00, 11u A - $100.00, 12u AA - $100.00, 12u Open - $100.00, 12u A - $100.00, 13u AA - $100.00, 13u Open - $100.00, 13u A - $100.00, 14u Open - $100.00, 14u A - $100.00"
664,North Florida Summer Championship,https://youth.2dsports.org/events/world-series-turf-warm-up-live-oak-fl-06-03-2023,FLORIDA TOURNAMENTS,06/03,06/04/2023,0,Live Oak,FL,"7u AA - $100.00, 7u Open - $100.00, 8u AA - $100.00, 8u Open - $100.00, 9u AA - $250.00, 9u Open - $250.00, 10u AA - $250.00, 10u Open - $250.00, 11u AA - $250.00, 11u Open - $250.00, 12u AA - $250.00, 12u Open - $250.00, 13u AA - $250.00, 13u Open - $250.00, 14u AA - $250.00, 14u Open - $250.00"
659,Rice City Rumble,https://youth.2dsports.org/events/rice-city-rumble-crowley-la-06-03-2023,SWLA TOURNAMENTS,06/03,06/04/2023,2,Crowley,LA,"7u Open - $0.00, 8u Open - $0.00, 9u AA - $150.00, 9u Open - $150.00, 10u AA - $150.00, 10u Open - $150.00, 11u AA - $150.00, 11u Open - $150.00, 12u AA - $150.00, 12u Open - $150.00, 13u AA - $150.00, 13u Open - $150.00, 14u AA - $150.00, 14u Open - $150.00"
663,Arkansas State Tournament/Baseballs Provided,https://youth.2dsports.org/events/arkansas-state-tournament-burns-park-north-little-rock-ar-06-10-2023,ARKANSAS TOURNAMENTS,06/09,6/11/2023,0,Burns Park North Little Rock,AR,"6u Open - $150.00, 7u Open - $150.00, 8u Open - $150.00, 9u AA - $150.00, 9u Open - $150.00, 10u AA - $150.00, 10u Open - $150.00, 11u AA - $100.00, 11u Open - $150.00, 12u AA - $150.00, 12u Open - $150.00, 13u AA - $150.00, 13u Open - $150.00, 14u AA - $150.00, 14u Open - $150.00"
662,Acadiana World Series Warm up,https://youth.2dsports.org/events/acadiana-world-series-warm-up-broussard-youngsville-la-06-10-2023,SWLA TOURNAMENTS,06/10,6/11/2023,7,"Broussard, Youngsville",LA,"7u Open - $0.00, 8u Open - $0.00, 9u AA - $150.00, 9u Open - $150.00, 10u AA - $150.00, 10u Open - $150.00, 11u AA - $150.00, 11u Open - $150.00, 12u AA - $150.00, 12u Open - $150.00, 13u AA - $150.00, 13u Open - $150.00, 14u AA - $150.00, 14u Open - $150.00"
666,Memphis State Championship,https://youth.2dsports.org/events/copy-of-arkansas-state-tournament-burns-park-north-little-rock-ar-06-10-2023,TENNESSEE TOURNAMENTS,06/10,6/11/2023,1,Memphis,TN,"7u Open - $50.00, 8u Open - $50.00, 9u AA - $300.00, 9u Open - $300.00, 10u AA - $300.00, 10u Open - $300.00, 11u AA - $300.00, 11u Open - $300.00, 12u AA - $300.00, 12u Open - $300.00, 13u AA - $300.00, 13u Open - $300.00, 14u AA - $300.00, 14u Open - $300.00"
675,North LA State Championship,https://youth.2dsports.org/events/north-la-state-championship-bossier-la-06-10-2023,NORTH LA TOURNAMENTS,06/10,6/11/2023,3,Bossier City,LA,"7u Open - $0.00, 8u Open - $0.00, 9u AA - $200.00, 9u Open - $200.00, 10u AA - $200.00, 10u Open - $200.00, 11u AA - $200.00, 11u Open - $200.00, 12u AA - $200.00, 12u Open - $200.00, 13u AA - $200.00, 13u Open - $200.00, 14u Open - $200.00"
661,SE World Series Warm Up,https://youth.2dsports.org/events/se-world-series-warm-up-central-watson-la-06-10-2023,DEEP SOUTH TOURNAMENTS,06/10,6/11/2023,21,"Central, Watson",LA,"7u AA - $0.00, 7u Open - $0.00, 8u AA - $0.00, 8u Open - $0.00, 9u AA - $150.00, 9u Open - $150.00, 10u AA - $150.00, 10u Open - $150.00, 11u Open - $150.00, 12u AA - $150.00, 12u Open - $150.00, 13u AA - $150.00, 13u Open - $150.00, 14u AA - $150.00, 14u Open - $150.00"
599,2D Coach Pitch World Series - Powered by Marucci,https://youth.2dsports.org/events/2d-coach-pitch-world-series-powered-by-marucci-broussard-la-06-16-2023,SWLA TOURNAMENTS,06/15,6/18/2023,5,Broussard,LA,"7u AA - $295.00, 8u AA - $295.00, 8u Open - $295.00"
667,Acadiana Summer Showdown,https://youth.2dsports.org/events/acadiana-summer-showdown-broussard-la-06-17-2023,SWLA TOURNAMENTS,06/17,6/18/2023,2,Broussard,LA,"9u AA - $150.00, 9u Open - $150.00, 10u AA - $150.00, 10u Open - $150.00, 11u AA - $150.00, 11u Open - $150.00, 12u AA - $150.00, 12u Open - $150.00, 13u AA - $150.00, 13u Open - $150.00, 14u AA - $150.00, 14u Open - $150.00"
668,Central City Summer Slam,https://youth.2dsports.org/events/subway-summer-slam-central-la-06-17-2023,DEEP SOUTH TOURNAMENTS,06/17,6/18/2023,17,Central,LA,"7u AA - $0.00, 7u Open - $0.00, 8u AA - $0.00, 8u Open - $0.00, 9u AA - $150.00, 9u Open - $150.00, 10u AA - $150.00, 10u Open - $150.00, 11u Open - $150.00, 12u AA - $150.00, 12u Open - $150.00, 13u AA - $150.00, 13u Open - $150.00, 14u AA - $150.00, 14u Open - $150.00"
598,2D Cajun World Series - Powered by Marucci,https://youth.2dsports.org/events/2d-cajun-world-series-powered-by-marucci-broussard-youngsville-la-06-22-2023,SWLA TOURNAMENTS,06/22,6/25/2023,27,"Broussard, Youngsville",LA,"9u Major - $395.00, 9u AAA - $395.00, 9u AA - $395.00, 10u Major - $395.00, 10u AAA - $395.00, 10u AA - $395.00, 10u Open - $395.00, 11u Major - $395.00, 11u AAA - $395.00, 11u AA - $395.00, 12u Major - $395.00, 12u AAA - $395.00, 12u AA - $395.00, 12u Open - $395.00, 13u Major - $395.00, 13u AAA - $395.00, 13u AA - $395.00, 14u Open - $395.00"
