Division,Fee,Event ID,Event Name,URL,Date,City,State,Park,Teams
14U,175,2433,14u Brawlin on the Bayou,https://www.grandslamtournaments.com/baseball/Events/2433/14u-brawlin-on-the-bayou,4-May,THIBODAUX,LA,HERO'S PARK,0
7U,60,2400,Battle for the Boot,https://www.grandslamtournaments.com/baseball/Events/2400/battle-for-the-boot,5-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
8U,60,2400,Battle for the Boot,https://www.grandslamtournaments.com/baseball/Events/2400/battle-for-the-boot,6-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
9U,175,2400,Battle for the Boot,https://www.grandslamtournaments.com/baseball/Events/2400/battle-for-the-boot,7-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
10U,175,2400,Battle for the Boot,https://www.grandslamtournaments.com/baseball/Events/2400/battle-for-the-boot,8-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
11U,175,2400,Battle for the Boot,https://www.grandslamtournaments.com/baseball/Events/2400/battle-for-the-boot,9-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,1
12U,175,2400,Battle for the Boot,https://www.grandslamtournaments.com/baseball/Events/2400/battle-for-the-boot,10-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
13U,175,2400,Battle for the Boot,https://www.grandslamtournaments.com/baseball/Events/2400/battle-for-the-boot,11-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,1
14U,175,2400,Battle for the Boot,https://www.grandslamtournaments.com/baseball/Events/2400/battle-for-the-boot,12-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
7U,30,2401,ONE-DAY Mother's Day Classic,https://www.grandslamtournaments.com/baseball/Events/2401/one-day-mothers-day-classic,13-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
